qid,n_tables,oracle_cost,pt_regret_lin,is_trivial_oracle,t3_idx_0.01,t3_regret_0.01,t3_q_0.01,t3_idx_0.05,t3_regret_0.05,t3_q_0.05,t3_idx_0.1,t3_regret_0.1,t3_q_0.1,t3_idx_0.2,t3_regret_0.2,t3_q_0.2
1280,2,76907.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1281,3,232592.0,1.0,1,2,1.0,5.893237590789795,1,1.0308994681697214,2.1777548789978027,1,1.0308994681697214,1.3467788696289062,1,1.0308994681697214,0.6397113800048828
1282,2,18207.0,1.0,1,1,1.0,5.893237590789795,1,1.0,2.1777548789978027,1,1.0,1.3467788696289062,1,1.0,0.6397113800048828
1283,2,55590.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1284,2,5593.0,1.0,1,1,1.7824454772971041,5.893237590789795,1,1.7824454772971041,2.1777548789978027,1,1.7824454772971041,1.3467788696289062,1,1.7824454772971041,0.6397113800048828
1285,3,178353.0,1.0,1,3,1.0,5.893237590789795,3,1.0,2.1777548789978027,3,1.0,1.3467788696289062,3,1.0,0.6397113800048828
1286,5,215767.0,1.4226808423862667,0,2,1.0,5.893237590789795,2,1.0,2.1777548789978027,2,1.0,1.3467788696289062,2,1.0,0.6397113800048828
1287,4,40.0,1.0,1,4,2439.8536585365855,5.893237590789795,5,439.8536585365854,2.1777548789978027,4,2439.8536585365855,1.3467788696289062,5,439.8536585365854,0.6397113800048828
1288,2,875901.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1289,5,494990.0,1.0,1,0,1.0,5.893237590789795,4,1.446749536860266,2.1777548789978027,4,1.446749536860266,1.3467788696289062,4,1.446749536860266,0.6397113800048828
1290,3,470.0,1.0,1,2,1.0,5.893237590789795,2,1.0,2.1777548789978027,2,1.0,1.3467788696289062,2,1.0,0.6397113800048828
1291,2,6575.0,1.0,1,1,1.0,5.893237590789795,1,1.0,2.1777548789978027,1,1.0,1.3467788696289062,1,1.0,0.6397113800048828
1292,2,368.0,1.0,1,1,1.0,5.893237590789795,1,1.0,2.1777548789978027,1,1.0,1.3467788696289062,1,1.0,0.6397113800048828
1293,2,3979.0,1.0,1,1,1.0,5.893237590789795,1,1.0,2.1777548789978027,1,1.0,1.3467788696289062,1,1.0,0.6397113800048828
1294,3,58070.0,1.0059754438532142,0,2,1.0059754438532142,5.893237590789795,0,1.5296791858242496,2.1777548789978027,2,1.0059754438532142,1.3467788696289062,1,1.0,0.6397113800048828
1295,3,344265.0,1.0,1,2,1.4010387316784114,5.893237590789795,1,1.0,2.1777548789978027,2,1.4010387316784114,1.3467788696289062,2,1.4010387316784114,0.6397113800048828
1296,2,2750955.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1297,4,108339862.0,1.0,1,5,1.0,5.893237590789795,5,1.0,2.1777548789978027,5,1.0,1.3467788696289062,4,1.0006075141520163,0.6397113800048828
1298,3,3342.0,1.3314388274005384,0,1,1.3314388274005384,5.893237590789795,1,1.3314388274005384,2.1777548789978027,1,1.3314388274005384,1.3467788696289062,1,1.3314388274005384,0.6397113800048828
1299,4,581727.0,1.0471526211562792,0,4,1.0,5.893237590789795,1,1.0471526211562792,2.1777548789978027,4,1.0,1.3467788696289062,4,1.0,0.6397113800048828
1300,3,79476.0,1.0,1,2,1.5821180970595266,5.893237590789795,2,1.5821180970595266,2.1777548789978027,2,1.5821180970595266,1.3467788696289062,2,1.5821180970595266,0.6397113800048828
1301,2,300521.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1302,3,99779.0,1.0,1,1,1.0,5.893237590789795,1,1.0,2.1777548789978027,1,1.0,1.3467788696289062,1,1.0,0.6397113800048828
1303,5,5536978.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1304,5,3553621.0,1.0,1,5,1.1150333378170216,5.893237590789795,2,1.0,2.1777548789978027,2,1.0,1.3467788696289062,2,1.0,0.6397113800048828
1305,5,358135315.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1306,4,5029150.0,1.0000206794347595,1,4,1.3674801174194213,5.893237590789795,3,1.0000206794347595,2.1777548789978027,5,1.0,1.3467788696289062,3,1.0000206794347595,0.6397113800048828
1307,3,176772.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1308,5,1296043.0,1.0,1,4,1.0,5.893237590789795,4,1.0,2.1777548789978027,4,1.0,1.3467788696289062,4,1.0,0.6397113800048828
1309,2,16648.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1310,5,46366.0,1.5401255203053896,0,0,1.1212500269588286,5.893237590789795,0,1.1212500269588286,2.1777548789978027,0,1.1212500269588286,1.3467788696289062,0,1.1212500269588286,0.6397113800048828
1311,4,392626.0,1.0,1,3,1.0,5.893237590789795,3,1.0,2.1777548789978027,3,1.0,1.3467788696289062,3,1.0,0.6397113800048828
1312,2,25443.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1313,2,58487.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1314,3,65223.0,1.6917699006500675,0,2,1.6917699006500675,5.893237590789795,2,1.6917699006500675,2.1777548789978027,2,1.6917699006500675,1.3467788696289062,2,1.6917699006500675,0.6397113800048828
1315,2,544449.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1316,5,15720.0,1.0,1,4,1.0,5.893237590789795,4,1.0,2.1777548789978027,4,1.0,1.3467788696289062,4,1.0,0.6397113800048828
1317,2,6656.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1318,5,1736160.0,1.3283197814027616,0,3,1.0,5.893237590789795,3,1.0,2.1777548789978027,4,1.3283197814027616,1.3467788696289062,3,1.0,0.6397113800048828
1319,3,55996.0,1.0,1,1,1.0,5.893237590789795,1,1.0,2.1777548789978027,1,1.0,1.3467788696289062,1,1.0,0.6397113800048828
1320,4,23949.0,1.0,1,4,1.0,5.893237590789795,4,1.0,2.1777548789978027,4,1.0,1.3467788696289062,4,1.0,0.6397113800048828
1321,5,1038725.0,1.0002079470428198,1,0,1.0002079470428198,5.893237590789795,0,1.0002079470428198,2.1777548789978027,0,1.0002079470428198,1.3467788696289062,0,1.0002079470428198,0.6397113800048828
1322,2,0.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1323,4,75193.0,1.0000664946671276,1,5,1.0,5.893237590789795,5,1.0,2.1777548789978027,5,1.0,1.3467788696289062,3,1.0000664946671276,0.6397113800048828
1324,4,1392.0,1.0,1,2,5282.37688442211,5.893237590789795,4,3955.518305814788,2.1777548789978027,4,3955.518305814788,1.3467788696289062,4,3955.518305814788,0.6397113800048828
1325,3,277439.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1326,5,26082262.0,1.0,1,4,1.0001487600980021,5.893237590789795,4,1.0001487600980021,2.1777548789978027,2,1.0,1.3467788696289062,4,1.0001487600980021,0.6397113800048828
1327,3,5772.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1328,2,8579.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1329,4,1111284.0,1.0,1,3,1.0,5.893237590789795,3,1.0,2.1777548789978027,3,1.0,1.3467788696289062,3,1.0,0.6397113800048828
1330,4,1278603.0,1.0,1,4,1.0,5.893237590789795,4,1.0,2.1777548789978027,4,1.0,1.3467788696289062,4,1.0,0.6397113800048828
1331,5,3204837.0,1.0,1,3,1.0,5.893237590789795,3,1.0,2.1777548789978027,3,1.0,1.3467788696289062,3,1.0,0.6397113800048828
1332,2,119248.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1333,5,118662.0,1.0,1,0,1.0,5.893237590789795,5,5.331029891373048,2.1777548789978027,5,5.331029891373048,1.3467788696289062,5,5.331029891373048,0.6397113800048828
1334,3,7108.0,1.0,1,1,1.3336615557743705,5.893237590789795,3,1.0,2.1777548789978027,1,1.3336615557743705,1.3467788696289062,3,1.0,0.6397113800048828
1335,4,347827.0,1.0,1,3,1.035687178720517,5.893237590789795,3,1.035687178720517,2.1777548789978027,3,1.035687178720517,1.3467788696289062,3,1.035687178720517,0.6397113800048828
1336,5,3009766.0,1.0,1,0,1.0,5.893237590789795,2,1.0631945928040276,2.1777548789978027,0,1.0,1.3467788696289062,2,1.0631945928040276,0.6397113800048828
1337,3,29079.0,2.770735900962861,0,1,1.0,5.893237590789795,3,2.770735900962861,2.1777548789978027,1,1.0,1.3467788696289062,3,2.770735900962861,0.6397113800048828
1338,3,11104.0,1.0,1,1,1.0,5.893237590789795,1,1.0,2.1777548789978027,1,1.0,1.3467788696289062,1,1.0,0.6397113800048828
1339,4,747070.0,1.0,1,3,1.0,5.893237590789795,3,1.0,2.1777548789978027,3,1.0,1.3467788696289062,3,1.0,0.6397113800048828
1340,2,138469.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1341,2,3502.0,5.63859548958036,0,0,5.63859548958036,5.893237590789795,0,5.63859548958036,2.1777548789978027,0,5.63859548958036,1.3467788696289062,0,5.63859548958036,0.6397113800048828
1342,2,257177.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1343,4,2261917.0,1.026121636593369,0,3,1.014851997287258,5.893237590789795,3,1.014851997287258,2.1777548789978027,3,1.014851997287258,1.3467788696289062,4,1.0,0.6397113800048828
1344,3,253744.0,1.0,1,2,1.0485645037340636,5.893237590789795,2,1.0485645037340636,2.1777548789978027,2,1.0485645037340636,1.3467788696289062,2,1.0485645037340636,0.6397113800048828
1345,3,45000.0,1.0,1,0,1.0,5.893237590789795,0,1.0,2.1777548789978027,0,1.0,1.3467788696289062,0,1.0,0.6397113800048828
1346,2,856.0,1.0,1,1,1.0,5.893237590789795,1,1.0,2.1777548789978027,1,1.0,1.3467788696289062,1,1.0,0.6397113800048828
1347,5,2658.0,1.0,1,5,1.0,5.893237590789795,5,1.0,2.1777548789978027,5,1.0,1.3467788696289062,5,1.0,0.6397113800048828
1348,3,48474.0,1.0,1,3,1.0,5.893237590789795,3,1.0,2.1777548789978027,3,1.0,1.3467788696289062,3,1.0,0.6397113800048828
